# Term register export from the tracker sheet. GENERATED by export-tracker.py — do not edit.
# term	published	status	note	flag
Hallucination	yes	established		X
Human-in-the-Loop (HITL)	yes	established		X
Accountability (AI Systems)	yes	established		X
AI Agent	yes	established		X
AI Governance	yes	established		X
AI Literacy	yes	established		X
AI Use Case	yes	established		X
Audit Trail (AI)	yes	established		X
Bias (AI Systems)	yes	established		X
Black Box	yes	established		X
Compliance (AI Systems)	yes	established		X
Data Minimization	yes	established		X
Data Quality	yes	established		X
Evaluation (AI Systems)	yes	established		X
Explainability (XAI)	yes	established		X
Failure Modes (AI Systems)	yes	established		X
Grounding	yes	established		X
Guardrails (AI Systems)	yes	established		X
Human Responsibility in AI Use	yes	established		X
Ownership (AI Systems)	yes	established		X
Types of AI Systems	yes	established		X
Large Language Models (LLMs)	yes	established		X
Privacy (AI Systems)	yes	established		X
Prompt Injection	yes	established		X
Reasoning Models / Test-Time Compute	yes	established		X
Data Leakage (AI Systems)	yes	established		X
Permission Model (AI)	yes	established		X
AI Incident (Reporting)	yes	established		X
Jailbreak	yes	established		X
Human–AI Collaboration Model	yes	established		X
Model/Data Drift	yes	established		X
Operational Readiness (AI)	yes	established		X
RACI	yes	established		X
Sycophancy (LLMs)	yes	established		X
AI Management System (ISO 42001)	yes	established		X
Knowledge Cutoff	yes	established		X
Anthropomorphism (AI)	yes	established		X
Automation Bias	yes	established		X
Reward Hacking (Specification Gaming)	yes	established		X
Verification	yes	established		X
Ontology	yes	established	Published Sep 7 2026. Clears check 1 on a formal standard rather than on usage: OWL 2 is a W3C Recommendation, and Gruber (1993) is the canonical definition. ⚠️ CHECK 4 ALMOST SAID "COVERED" AND WOULD HAVE BEEN WRONG: `ontology` was already an alias of Knowledge Graphs, but that entry mentions a schema only three times, always as a prerequisite or a cost — it never defines one. An alias to an entry that merely MENTIONS a term conceals the gap instead of filling it, and hides it from both the promise sweep and the gap report. Alias moved here; Knowledge Graphs now carries a Related-concepts pointer stating the schema/instance layer split. Score deliberately blank — author's call.	X
Supply Chain Risk (AI)	yes	established	PUBLISHED Sep 8 2026 — first of the score-5 outstanding batch. Renamed from "Supply Chain Risk" to disambiguate. Conventional supply-chain practice (NIST SP 800-161, SRC-302) transfers and then stops: hash verification proves origin, not behavior. Central governance point is legal rather than technical — EU AI Act Article 25 (SRC-301) makes you the PROVIDER if you rebrand, substantially modify, or repurpose a high-risk system, so fine-tuning and shipping under your own name can transfer the maker's obligations to you.	X
Dangerous Capability	yes	emerging	PUBLISHED Sep 8 2026 as `emerging`. ⚠️ CHECK 1 WAS RUN BEFORE DRAFTING, as this row's earlier caution required, and it did NOT resolve to `vendor`: Shevlane et al. (SRC-303) is 21 authors spanning competing labs, academia and policy institutes and uses the term directly — independent use, cleared on USAGE. What remains unsettled is the THRESHOLD, which each developer's own framework sets differently and no independent standard adjudicates; the entry documents the capability-versus-propensity distinction and declines to say what level counts. Revisit if a standards body sets thresholds.	X
Service Level Objective	yes	established	PUBLISHED Sep 8 2026. SLI/SLO/SLA definitions quoted verbatim from the canonical SRE source (SRC-304), which predates generative AI entirely and supplies the framework only. The AI-specific difficulty is the entry's substance and is reasoned rather than sourced: OUTPUT CORRECTNESS HAS NO LIVE GROUND TRUTH, so a quality objective is necessarily a commitment about a proxy — an evaluation suite, an LLM judge, sampled human review, or downstream signals — and the honest form names which. ⚠️ Whatever is targeted gets optimized.	X
