# Archive coverage projected from the Sources registry. GENERATED - do not edit.
# id	archived	check_state
SRC-001	yes	archived
SRC-007	no	no-record
SRC-008	no	no-record
SRC-010	no	no-record
SRC-011	no	no-record
SRC-012	no	no-record
SRC-013	no	no-record
SRC-014	no	no-record
SRC-015	no	no-record
SRC-016	no	no-record
SRC-017	no	no-record
SRC-018	no	no-record
SRC-019	no	no-record
SRC-020	no	no-record
SRC-021	no	no-record
SRC-022	no	no-record
SRC-023	no	no-record
SRC-024	yes	archived
SRC-025	no	no-record
SRC-026	no	no-record
SRC-027	no	no-record
SRC-028	no	no-record
SRC-029	no	no-record
SRC-030	no	no-record
SRC-031	no	no-record
SRC-032	yes	archived
SRC-033	no	no-record
SRC-034	no	no-record
SRC-036	yes	archived
SRC-037	no	no-record
SRC-038	no	no-record
SRC-039	yes	archived
SRC-040	no	no-record
SRC-041	no	no-record
SRC-042	no	no-record
SRC-043	no	no-record
SRC-044	no	no-record
SRC-045	no	no-record
SRC-046	no	no-record
SRC-047	no	no-record
SRC-048	no	no-record
SRC-049	no	no-record
SRC-050	no	no-record
SRC-051	no	no-record
SRC-052	no	no-record
SRC-054	no	no-record
SRC-055	no	no-record
SRC-056	no	no-record
SRC-057	no	no-record
SRC-059	no	no-record
SRC-060	no	no-record
SRC-061	no	no-record
SRC-062	no	no-record
SRC-063	no	no-record
SRC-064	no	no-record
SRC-065	yes	archived
SRC-066	no	no-record
SRC-067	yes	archived
SRC-068	no	no-record
SRC-069	no	no-record
SRC-070	no	no-record
SRC-071	no	no-record
SRC-072	no	no-record
SRC-073	no	no-record
SRC-074	no	no-record
SRC-075	no	no-record
SRC-076	no	no-record
SRC-077	no	no-record
SRC-078	no	no-record
SRC-079	no	no-record
SRC-080	no	no-record
SRC-081	no	no-record
SRC-082	no	no-record
SRC-083	no	no-record
SRC-084	no	no-record
SRC-085	no	no-record
SRC-086	no	no-record
SRC-087	no	no-record
SRC-095	no	no-record
SRC-098	no	no-record
SRC-099	no	no-record
SRC-100	no	no-record
SRC-101	no	no-record
SRC-102	no	no-record
SRC-103	no	no-record
SRC-104	no	no-record
SRC-105	no	no-record
SRC-106	no	no-record
SRC-107	no	no-record
SRC-108	no	no-record
SRC-109	yes	archived
SRC-110	no	no-record
SRC-111	no	no-record
SRC-112	yes	archived
SRC-113	yes	archived
SRC-114	yes	archived
SRC-115	no	no-record
SRC-116	no	no-record
SRC-117	no	no-record
SRC-118	no	no-record
SRC-119	yes	archived
SRC-120	yes	archived
SRC-121	no	no-record
SRC-122	no	no-record
SRC-123	no	no-record
SRC-124	no	no-record
SRC-125	no	no-record
SRC-126	yes	archived
SRC-127	no	no-record
SRC-128	no	no-record
SRC-129	yes	archived
SRC-130	yes	archived
SRC-131	no	no-record
SRC-132	no	no-record
SRC-009	no	no-record
SRC-133	no	no-record
SRC-134	yes	archived
SRC-135	no	no-record
SRC-136	no	no-record
SRC-137	no	no-record
SRC-138	no	no-record
SRC-139	no	no-record
SRC-140	no	no-record
SRC-141	no	no-record
SRC-142	no	no-record
SRC-143	no	no-record
SRC-144	no	no-record
SRC-145	no	no-record
SRC-146	no	no-record
SRC-147	no	no-record
SRC-148	no	no-record
SRC-149	no	no-record
SRC-150	no	no-record
SRC-151	no	no-record
SRC-152	no	no-record
SRC-153	no	no-record
SRC-154	no	no-record
SRC-155	no	no-record
SRC-156	no	no-record
SRC-157	no	no-record
SRC-158	no	no-record
SRC-159	no	no-record
SRC-160	no	no-record
SRC-161	no	no-record
SRC-162	yes	archived
SRC-163	yes	archived
SRC-164	no	no-record
SRC-165	no	no-record
SRC-166	no	no-record
SRC-167	no	no-record
SRC-168	no	no-record
SRC-169	no	no-record
SRC-170	no	no-record
SRC-171	no	no-record
SRC-172	no	no-record
SRC-173	no	no-record
SRC-174	no	no-record
SRC-175	no	no-record
SRC-176	no	no-record
SRC-177	no	no-record
SRC-178	no	no-record
SRC-179	yes	archived
SRC-180	no	no-record
SRC-181	no	no-record
SRC-182	no	no-record
SRC-183	yes	archived
SRC-184	no	no-record
SRC-185	no	no-record
SRC-186	yes	archived
SRC-187	no	no-record
SRC-188	no	no-record
SRC-189	no	no-record
SRC-190	no	no-record
SRC-191	no	no-record
SRC-192	yes	archived
SRC-193	no	no-record
SRC-194	no	no-record
SRC-195	no	no-record
SRC-196	no	no-record
SRC-197	yes	archived
SRC-198	no	no-record
SRC-199	no	no-record
SRC-200	yes	archived
SRC-201	no	no-record
SRC-202	no	no-record
SRC-203	no	no-record
SRC-204	yes	archived
SRC-205	no	no-record
SRC-206	no	no-record
SRC-207	no	no-record
SRC-208	no	no-record
SRC-209	no	no-record
SRC-210	no	no-record
SRC-211	yes	archived
SRC-212	no	no-record
SRC-213	no	no-record
SRC-214	no	no-record
SRC-215	no	no-record
SRC-216	no	no-record
SRC-217	no	no-record
SRC-218	no	no-record
SRC-219	no	no-record
SRC-220	no	no-record
SRC-221	yes	archived
SRC-222	yes	archived
SRC-223	yes	archived
SRC-224	yes	archived
SRC-225	yes	archived
SRC-226	yes	archived
SRC-227	yes	archived
SRC-228	yes	archived
SRC-229	yes	archived
SRC-230	yes	archived
SRC-231	yes	archived
SRC-232	yes	archived
SRC-233	yes	archived
SRC-234	yes	archived
SRC-235	no	absent
SRC-236	yes	archived
SRC-237	yes	archived
SRC-238	yes	archived
SRC-239	yes	archived
SRC-240	yes	archived
SRC-241	yes	archived
SRC-242	yes	archived
SRC-243	yes	archived
SRC-244	no	absent
SRC-245	yes	archived
SRC-246	yes	archived
SRC-247	yes	archived
SRC-248	yes	archived
SRC-249	no	absent
SRC-250	yes	archived
SRC-251	yes	archived
SRC-252	yes	archived
SRC-253	yes	archived
SRC-254	yes	archived
SRC-255	yes	archived
SRC-256	yes	archived
SRC-257	yes	archived
SRC-258	yes	archived
SRC-259	yes	archived
SRC-260	yes	archived
SRC-261	yes	archived
SRC-262	yes	archived
SRC-263	yes	archived
SRC-264	yes	archived
SRC-265	yes	archived
SRC-266	no	absent
SRC-267	yes	archived
SRC-268	yes	archived
SRC-269	yes	archived
SRC-270	yes	archived
SRC-271	yes	archived
SRC-272	yes	archived
SRC-273	yes	archived
SRC-274	yes	archived
SRC-275	yes	archived
SRC-276	yes	archived
SRC-277	yes	archived
SRC-278	yes	archived
SRC-279	yes	archived
SRC-280	yes	archived
SRC-281	yes	archived
SRC-282	yes	archived
SRC-283	yes	archived
SRC-284	yes	archived
SRC-285	yes	archived
SRC-286	yes	archived
SRC-287	yes	archived
SRC-288	yes	archived
SRC-289	yes	archived
SRC-290	yes	archived
SRC-291	yes	archived
SRC-292	yes	archived
SRC-293	yes	archived
SRC-294	yes	archived
SRC-295	yes	archived
SRC-296	yes	archived
SRC-297	yes	archived
SRC-298	yes	archived
SRC-299	yes	archived
SRC-300	yes	archived
SRC-301	yes	archived
SRC-302	yes	archived
SRC-303	yes	archived
SRC-304	yes	archived
SRC-305	yes	archived
SRC-306	yes	archived
SRC-307	yes	archived
SRC-308	yes	archived
SRC-309	yes	archived
SRC-310	yes	archived
SRC-311	yes	archived
SRC-312	yes	archived
SRC-313	yes	archived
SRC-314	yes	archived
SRC-315	yes	archived
SRC-316	yes	archived
SRC-317	yes	archived
SRC-318	yes	archived
SRC-319	yes	archived
SRC-320	yes	archived
SRC-321	yes	archived
SRC-322	yes	archived
SRC-323	no	absent
SRC-324	yes	archived
SRC-325	yes	archived
SRC-326	yes	archived
SRC-327	yes	archived
SRC-328	yes	archived
SRC-329	yes	archived
SRC-330	yes	archived
SRC-331	yes	archived
SRC-332	yes	archived
SRC-333	yes	archived
SRC-334	yes	archived
SRC-335	yes	archived
SRC-336	no	absent
SRC-337	yes	archived
SRC-338	yes	archived
SRC-339	yes	archived
SRC-340	yes	archived
SRC-341	yes	archived
SRC-342	yes	archived
SRC-343	yes	archived
SRC-344	yes	archived
SRC-345	yes	archived
SRC-346	yes	archived
SRC-347	yes	archived
SRC-348	yes	archived
SRC-349	yes	archived
SRC-350	yes	archived
